url,meta,sender,sender_type,sender_id,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,age,gender,english,education,country,textLLM,switch,textHuman,response,response_action,,creative_humor,accept_plot,negative_diversity,original_human,accept_dialogue,creative_story,creative_characters,negative_audience,accept_edit,better_llm,negative_writers,accept_script,diminish_originality
[object Object],"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/manuscript-study-5/6929f5aea99d9e200d04aabf?fbclid=IwY2xjawOW1PhleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAEwAAEeB8HKUR8ezN6ObT4iF4dVK13t9fvRCuX8mFqJvsee_-zblOfVXKTnIXr5htg_aem_1DfR8muzbSiNQTrHDiNKqQ"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""da-DK"",""locale"":""en-GB"",""timeZone"":""Europe/Copenhagen"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":730,""window_innerWidth"":1440,""window_innerHeight"":778,""devicePixelRatio"":2}",Welcome,html.Page,0,form submission,3349.3,1130.2999999970198,1130.6,1147.2,4496.5,4497,2025-11-28T19:19:14.320Z,4497.3,UXfuQC_Hvq,full,manuscript-study-5,69299244a99d9e200d04a72a,participant,hcpib6bxmij8xe8n,609175,,,,,,,,,,,,,,,,,,,,,,,,
,,Personal information,html.Page,1,form submission,25883.99999999702,4497.29999999702,4497.162,4497.3,30381.29999999702,30381.59999999404,2025-11-28T19:19:40.204Z,30397.5,UXfuQC_Hvq,full,manuscript-study-5,69299244a99d9e200d04a72a,participant,hcpib6bxmij8xe8n,,26,male,yes,bachelor,Denmark,,,,,,,,,,,,,,,,,,,
,,"Derry Girls check ",html.Page,2,form submission,6532.5,30381.89999999106,30381.188,30397.5,36930,36930.59999999404,2025-11-28T19:19:46.753Z,36931.328,UXfuQC_Hvq,full,manuscript-study-5,69299244a99d9e200d04a72a,participant,hcpib6bxmij8xe8n,,,,,,,,,,,,,,,,,,,,,,,,,
,,Explanation Text,html.Page,3,form submission,15084.071999991058,36930.89999999106,36931.328,36931.328,52015.39999999106,52015.79999999702,2025-11-28T19:20:01.837Z,52014.94,UXfuQC_Hvq,full,manuscript-study-5,69299244a99d9e200d04a72a,participant,hcpib6bxmij8xe8n,,,,,,,,,,,,,,,,,,,,,,,,,
,,Showing scenes,html.Page,4_0_0,response,112468.65999999404,52016,52014.94,52014.94,164483.59999999404,164493.79999999702,2025-11-28T19:21:54.311Z,164517.1,UXfuQC_Hvq,full,manuscript-study-5,69299244a99d9e200d04a72a,participant,hcpib6bxmij8xe8n,,,,,,,"[In Erin’s bedroom. Erin is putting on a dress. Orla is doing her hair. Clare peeks in.]<br> Clare: Erin, you really think you should wear *that* to a boy’s party?<br> Erin: Better than looking like a blowfish, Clare. (frowns at her dress in the mirror)<br> James: (from the doorway) Confidence, Erin! Be bold like a hawk, not stiff like a blowfish.<br> Orla: Ew, James. Nobody wants to be a blowfish.<br> Erin: I’m not sure I want to go, though. A boy’s party sounds… weird.<br> Michelle: Weird? Erin, boy’s party = opportunity. Opportunity to be *sexy*. (strikes a pose)<br> Erin: Sexy? Mum, I’m thirteen. If I try to be sexy, I'll look ridiculous.<br> Michelle: Ridiculous sells, sweetheart. Sometimes ridiculous is the look.<br> Clare: Look, just be yourself. Unless you’re a blowfish. Then pick a look.<br> Orla: And if you're going to be sexy, wear red. Red distracts the eye from bad dancing.<br> James: (rolls his eyes) Are we styling Erin or sending her to battle?<br> Erin: I just don’t want to regret it later. What if I spill something everywhere?<br> Michelle: Spill? Then you’ll clean it up, or someone else will.<br> Jon: (knocks and enters) Hey, girls. You're all ready?<br> Erin: I think so. Or I’m somewhere between sexy and sensible.<br> Jon: That’s perfect. No one notices sensible anyway, Erin. Go with the sexy.<br> James: See? Jon gets it. Confidence, eye contact, smile. Not blowfish.<br> Erin: (sighs) Fine. Eye contact. Smile. And maybe red lips.<br> Orla: Don’t let any boys see your diary tonight either. That’s reserved for your enemies.<br> Clare: Enemy? Who needs enemies when you’ve got siblings?<br> James: Erin, promise me one thing—you’ll dance even if it feels silly.<br> Erin: Promise. (takes a deep breath, fixes her dress) Let’s go make a memory, not a mannequin.<br> Michelle: That’s my girl. Now—smart phone... red lips... strut out that door!",true,"[Night time. Michelle, Erin, Clare, James and Orla sneak out of their room in their pyjamas.]<br> ERIN: I'm not sure about this.<br> MICHELLE: I knew you'd fanny out!<br> ERIN: These lads have moves. You said so yourself, Michelle. And I haven't got any moves!<br> (They walk up the stairs.)<br> MICHELLE: Look, let's just get in there, have a few drinks, and just loosen up a bit.<br> CLARE: No! No loosening up! I don't like it!<br> JAMES: Just be confident, Erin. Boys like that.<br> MICHELLE: How the fuck would you know what boys like?<br> JAMES: Cause I'm a boy, Michelle. I'm a real live boy.<br> ORLA: Aw, yeah, like Pinocchio.<br> (They reach the boys' door.)<br> MICHELLE: (touching Erin's hair) Listen be sexy, okay?<br> ERIN: Sexy, right.<br> (Erin leans against the wall and pouts.)<br> MICHELLE: I said be sexy, not be a fucking blowfish, Erin.<br> (Erin looks offended and tries to be sexy again. Michelle knocks.)<br> (Jon opens the door, looking confused.)<br> JAMES: Hello, mate.<br> MICHELLE: We heard you boys are having a party.<br> JON: No?<br> MICHELLE: Well yous are now.<br> (They all walk into the room. Orla stares at Jon close to his face. He looks scared.)<br>",left,keypress(a),,,,,,,,,,,,,,
,,interval,canvas.Screen,4_0_1,response,1906.3999999999942,164494,164500.36,164517.1,166423.5,166430.19999998808,2025-11-28T19:21:56.247Z,166450.4,UXfuQC_Hvq,full,manuscript-study-5,69299244a99d9e200d04a72a,participant,hcpib6bxmij8xe8n,,,,,,,"[In Erin’s bedroom. Erin is putting on a dress. Orla is doing her hair. Clare peeks in.]<br> Clare: Erin, you really think you should wear *that* to a boy’s party?<br> Erin: Better than looking like a blowfish, Clare. (frowns at her dress in the mirror)<br> James: (from the doorway) Confidence, Erin! Be bold like a hawk, not stiff like a blowfish.<br> Orla: Ew, James. Nobody wants to be a blowfish.<br> Erin: I’m not sure I want to go, though. A boy’s party sounds… weird.<br> Michelle: Weird? Erin, boy’s party = opportunity. Opportunity to be *sexy*. (strikes a pose)<br> Erin: Sexy? Mum, I’m thirteen. If I try to be sexy, I'll look ridiculous.<br> Michelle: Ridiculous sells, sweetheart. Sometimes ridiculous is the look.<br> Clare: Look, just be yourself. Unless you’re a blowfish. Then pick a look.<br> Orla: And if you're going to be sexy, wear red. Red distracts the eye from bad dancing.<br> James: (rolls his eyes) Are we styling Erin or sending her to battle?<br> Erin: I just don’t want to regret it later. What if I spill something everywhere?<br> Michelle: Spill? Then you’ll clean it up, or someone else will.<br> Jon: (knocks and enters) Hey, girls. You're all ready?<br> Erin: I think so. Or I’m somewhere between sexy and sensible.<br> Jon: That’s perfect. No one notices sensible anyway, Erin. Go with the sexy.<br> James: See? Jon gets it. Confidence, eye contact, smile. Not blowfish.<br> Erin: (sighs) Fine. Eye contact. Smile. And maybe red lips.<br> Orla: Don’t let any boys see your diary tonight either. That’s reserved for your enemies.<br> Clare: Enemy? Who needs enemies when you’ve got siblings?<br> James: Erin, promise me one thing—you’ll dance even if it feels silly.<br> Erin: Promise. (takes a deep breath, fixes her dress) Let’s go make a memory, not a mannequin.<br> Michelle: That’s my girl. Now—smart phone... red lips... strut out that door!",,"[Night time. Michelle, Erin, Clare, James and Orla sneak out of their room in their pyjamas.]<br> ERIN: I'm not sure about this.<br> MICHELLE: I knew you'd fanny out!<br> ERIN: These lads have moves. You said so yourself, Michelle. And I haven't got any moves!<br> (They walk up the stairs.)<br> MICHELLE: Look, let's just get in there, have a few drinks, and just loosen up a bit.<br> CLARE: No! No loosening up! I don't like it!<br> JAMES: Just be confident, Erin. Boys like that.<br> MICHELLE: How the fuck would you know what boys like?<br> JAMES: Cause I'm a boy, Michelle. I'm a real live boy.<br> ORLA: Aw, yeah, like Pinocchio.<br> (They reach the boys' door.)<br> MICHELLE: (touching Erin's hair) Listen be sexy, okay?<br> ERIN: Sexy, right.<br> (Erin leans against the wall and pouts.)<br> MICHELLE: I said be sexy, not be a fucking blowfish, Erin.<br> (Erin looks offended and tries to be sexy again. Michelle knocks.)<br> (Jon opens the door, looking confused.)<br> JAMES: Hello, mate.<br> MICHELLE: We heard you boys are having a party.<br> JON: No?<br> MICHELLE: Well yous are now.<br> (They all walk into the room. Orla stares at Jon close to his face. He looks scared.)<br>",,keypress,,,,,,,,,,,,,,
,,trial,flow.Sequence,4_0,completion,114408.56,52016,52014.94,52014.94,166423.5,166430.69999998808,2025-11-28T19:21:56.248Z,166450.4,UXfuQC_Hvq,full,manuscript-study-5,69299244a99d9e200d04a72a,participant,hcpib6bxmij8xe8n,,,,,,,"[In Erin’s bedroom. Erin is putting on a dress. Orla is doing her hair. Clare peeks in.]<br> Clare: Erin, you really think you should wear *that* to a boy’s party?<br> Erin: Better than looking like a blowfish, Clare. (frowns at her dress in the mirror)<br> James: (from the doorway) Confidence, Erin! Be bold like a hawk, not stiff like a blowfish.<br> Orla: Ew, James. Nobody wants to be a blowfish.<br> Erin: I’m not sure I want to go, though. A boy’s party sounds… weird.<br> Michelle: Weird? Erin, boy’s party = opportunity. Opportunity to be *sexy*. (strikes a pose)<br> Erin: Sexy? Mum, I’m thirteen. If I try to be sexy, I'll look ridiculous.<br> Michelle: Ridiculous sells, sweetheart. Sometimes ridiculous is the look.<br> Clare: Look, just be yourself. Unless you’re a blowfish. Then pick a look.<br> Orla: And if you're going to be sexy, wear red. Red distracts the eye from bad dancing.<br> James: (rolls his eyes) Are we styling Erin or sending her to battle?<br> Erin: I just don’t want to regret it later. What if I spill something everywhere?<br> Michelle: Spill? Then you’ll clean it up, or someone else will.<br> Jon: (knocks and enters) Hey, girls. You're all ready?<br> Erin: I think so. Or I’m somewhere between sexy and sensible.<br> Jon: That’s perfect. No one notices sensible anyway, Erin. Go with the sexy.<br> James: See? Jon gets it. Confidence, eye contact, smile. Not blowfish.<br> Erin: (sighs) Fine. Eye contact. Smile. And maybe red lips.<br> Orla: Don’t let any boys see your diary tonight either. That’s reserved for your enemies.<br> Clare: Enemy? Who needs enemies when you’ve got siblings?<br> James: Erin, promise me one thing—you’ll dance even if it feels silly.<br> Erin: Promise. (takes a deep breath, fixes her dress) Let’s go make a memory, not a mannequin.<br> Michelle: That’s my girl. Now—smart phone... red lips... strut out that door!",,"[Night time. Michelle, Erin, Clare, James and Orla sneak out of their room in their pyjamas.]<br> ERIN: I'm not sure about this.<br> MICHELLE: I knew you'd fanny out!<br> ERIN: These lads have moves. You said so yourself, Michelle. And I haven't got any moves!<br> (They walk up the stairs.)<br> MICHELLE: Look, let's just get in there, have a few drinks, and just loosen up a bit.<br> CLARE: No! No loosening up! I don't like it!<br> JAMES: Just be confident, Erin. Boys like that.<br> MICHELLE: How the fuck would you know what boys like?<br> JAMES: Cause I'm a boy, Michelle. I'm a real live boy.<br> ORLA: Aw, yeah, like Pinocchio.<br> (They reach the boys' door.)<br> MICHELLE: (touching Erin's hair) Listen be sexy, okay?<br> ERIN: Sexy, right.<br> (Erin leans against the wall and pouts.)<br> MICHELLE: I said be sexy, not be a fucking blowfish, Erin.<br> (Erin looks offended and tries to be sexy again. Michelle knocks.)<br> (Jon opens the door, looking confused.)<br> JAMES: Hello, mate.<br> MICHELLE: We heard you boys are having a party.<br> JON: No?<br> MICHELLE: Well yous are now.<br> (They all walk into the room. Orla stares at Jon close to his face. He looks scared.)<br>",,,,,,,,,,,,,,,,
,,Showing scenes,html.Page,4_1_0,response,112140.79999998808,166430.89999999106,166433.69,166450.4,278591.1999999881,278598.09999999404,2025-11-28T19:23:48.411Z,278619.1,UXfuQC_Hvq,full,manuscript-study-5,69299244a99d9e200d04a72a,participant,hcpib6bxmij8xe8n,,,,,,,"[In the Quinn living room. Mary is ironing Erin’s uniform. Orla is reading a parish bulletin.]<br> Mary: Erin, you’d best hurry—Mass starts in fifteen. Have you seen Bill?<br> Erin: Bill? He’s been gone all morning. I reckon he’s headed to chapel already.<br> Orla: (looking up) I heard something on the radio. The Clintons might be in Burt.<br> Mary: Saints preserve us. The Clintons in Burt is bad enough—what are they after now?<br> (Bill enters, looking bewildered. A taxi driver’s cap in hand.)<br> Erin: Where’ve you been? We thought you’d left for Mass.<br> Bill: I was picked up—Taxi from Burt. Dispatcher said they needed me at chapel.<br> Mary: What do you mean “they needed you”? For what part of the service?<br> Bill: I’m supposed to read a passage. Some request from the parish—they said they sent for someone dependable.<br> Orla: (sniffs) Dependable? More like someone handy to hang onto when the Clintons roll in.<br> Mary: Well, if the Clintons are coming, we’ll need to be on our best behaviour.<br> Bill: The dispatcher seemed nervous. Kept mentioning “feeling the air stiff” in Burt.<br> Erin: Air stiff? Sounds like trouble brewing—politics or otherwise.<br> Mary: Don’t you go mixing politics with the holy, Erin. Mass isn’t the place.<br> Orla: Yet they drag us into it all the same—crossfire comes in many garments.<br> Bill: Whatever they want, I’ll read the passage as asked. God alone knows my heart’s in the right place.<br> (They exit together toward the chapel. Mary murmurs nervously.)<br> Mary: May it be good, not scandalous.<br>",false,"[In the taxi rank.]<br> Granda Joe: Excuse me, son.<br> Man: Where to?<br> Granda Joe: We were just wondering, have you seen the Clintons knocking about around here?<br> Man: The Clintons?<br> Jim: We have reason to believe they're staying in this vicinity.<br> Man: What would the Clintons be doing in Burt?<br> (A man walks in.)<br> Man: Heading to the chapel, Bill?<br> Bill: Aye.<br> Man: (into mic) Anybody free to pick up Bill from base? Over. Anybody near base at all? Over.<br> Over radio: All right, back in five.<br> Man: Five minutes, Bill.<br> Bill: (nodding and smiling) Good.<br> Gerry: Now, Jim, would you be open to the following possibility at all, that it may not have been a CIA agent you were picking up on that transmitter of yours. That there is in fact a good chance it was a taxi dispatcher from Burt, ordering a car here to bring Bill to mass?<br> Jim: He did have a strong Donegal accent, now that you mention it.<br> Granda Joe: Jesus, Jim!",right,keypress(d),,,,,,,,,,,,,,
,,interval,canvas.Screen,4_1_1,response,1220.699999997043,278598.299999997,278602.566,278619.1,279839.799999997,279847.09999999404,2025-11-28T19:23:49.660Z,279869,UXfuQC_Hvq,full,manuscript-study-5,69299244a99d9e200d04a72a,participant,hcpib6bxmij8xe8n,,,,,,,"[In the Quinn living room. Mary is ironing Erin’s uniform. Orla is reading a parish bulletin.]<br> Mary: Erin, you’d best hurry—Mass starts in fifteen. Have you seen Bill?<br> Erin: Bill? He’s been gone all morning. I reckon he’s headed to chapel already.<br> Orla: (looking up) I heard something on the radio. The Clintons might be in Burt.<br> Mary: Saints preserve us. The Clintons in Burt is bad enough—what are they after now?<br> (Bill enters, looking bewildered. A taxi driver’s cap in hand.)<br> Erin: Where’ve you been? We thought you’d left for Mass.<br> Bill: I was picked up—Taxi from Burt. Dispatcher said they needed me at chapel.<br> Mary: What do you mean “they needed you”? For what part of the service?<br> Bill: I’m supposed to read a passage. Some request from the parish—they said they sent for someone dependable.<br> Orla: (sniffs) Dependable? More like someone handy to hang onto when the Clintons roll in.<br> Mary: Well, if the Clintons are coming, we’ll need to be on our best behaviour.<br> Bill: The dispatcher seemed nervous. Kept mentioning “feeling the air stiff” in Burt.<br> Erin: Air stiff? Sounds like trouble brewing—politics or otherwise.<br> Mary: Don’t you go mixing politics with the holy, Erin. Mass isn’t the place.<br> Orla: Yet they drag us into it all the same—crossfire comes in many garments.<br> Bill: Whatever they want, I’ll read the passage as asked. God alone knows my heart’s in the right place.<br> (They exit together toward the chapel. Mary murmurs nervously.)<br> Mary: May it be good, not scandalous.<br>",,"[In the taxi rank.]<br> Granda Joe: Excuse me, son.<br> Man: Where to?<br> Granda Joe: We were just wondering, have you seen the Clintons knocking about around here?<br> Man: The Clintons?<br> Jim: We have reason to believe they're staying in this vicinity.<br> Man: What would the Clintons be doing in Burt?<br> (A man walks in.)<br> Man: Heading to the chapel, Bill?<br> Bill: Aye.<br> Man: (into mic) Anybody free to pick up Bill from base? Over. Anybody near base at all? Over.<br> Over radio: All right, back in five.<br> Man: Five minutes, Bill.<br> Bill: (nodding and smiling) Good.<br> Gerry: Now, Jim, would you be open to the following possibility at all, that it may not have been a CIA agent you were picking up on that transmitter of yours. That there is in fact a good chance it was a taxi dispatcher from Burt, ordering a car here to bring Bill to mass?<br> Jim: He did have a strong Donegal accent, now that you mention it.<br> Granda Joe: Jesus, Jim!",,keypress,,,,,,,,,,,,,,
,,trial,flow.Sequence,4_1,completion,113389.39999999703,166430.79999999702,166433.69,166450.4,279839.799999997,279847.5,2025-11-28T19:23:49.660Z,279869,UXfuQC_Hvq,full,manuscript-study-5,69299244a99d9e200d04a72a,participant,hcpib6bxmij8xe8n,,,,,,,"[In the Quinn living room. Mary is ironing Erin’s uniform. Orla is reading a parish bulletin.]<br> Mary: Erin, you’d best hurry—Mass starts in fifteen. Have you seen Bill?<br> Erin: Bill? He’s been gone all morning. I reckon he’s headed to chapel already.<br> Orla: (looking up) I heard something on the radio. The Clintons might be in Burt.<br> Mary: Saints preserve us. The Clintons in Burt is bad enough—what are they after now?<br> (Bill enters, looking bewildered. A taxi driver’s cap in hand.)<br> Erin: Where’ve you been? We thought you’d left for Mass.<br> Bill: I was picked up—Taxi from Burt. Dispatcher said they needed me at chapel.<br> Mary: What do you mean “they needed you”? For what part of the service?<br> Bill: I’m supposed to read a passage. Some request from the parish—they said they sent for someone dependable.<br> Orla: (sniffs) Dependable? More like someone handy to hang onto when the Clintons roll in.<br> Mary: Well, if the Clintons are coming, we’ll need to be on our best behaviour.<br> Bill: The dispatcher seemed nervous. Kept mentioning “feeling the air stiff” in Burt.<br> Erin: Air stiff? Sounds like trouble brewing—politics or otherwise.<br> Mary: Don’t you go mixing politics with the holy, Erin. Mass isn’t the place.<br> Orla: Yet they drag us into it all the same—crossfire comes in many garments.<br> Bill: Whatever they want, I’ll read the passage as asked. God alone knows my heart’s in the right place.<br> (They exit together toward the chapel. Mary murmurs nervously.)<br> Mary: May it be good, not scandalous.<br>",,"[In the taxi rank.]<br> Granda Joe: Excuse me, son.<br> Man: Where to?<br> Granda Joe: We were just wondering, have you seen the Clintons knocking about around here?<br> Man: The Clintons?<br> Jim: We have reason to believe they're staying in this vicinity.<br> Man: What would the Clintons be doing in Burt?<br> (A man walks in.)<br> Man: Heading to the chapel, Bill?<br> Bill: Aye.<br> Man: (into mic) Anybody free to pick up Bill from base? Over. Anybody near base at all? Over.<br> Over radio: All right, back in five.<br> Man: Five minutes, Bill.<br> Bill: (nodding and smiling) Good.<br> Gerry: Now, Jim, would you be open to the following possibility at all, that it may not have been a CIA agent you were picking up on that transmitter of yours. That there is in fact a good chance it was a taxi dispatcher from Burt, ordering a car here to bring Bill to mass?<br> Jim: He did have a strong Donegal accent, now that you mention it.<br> Granda Joe: Jesus, Jim!",,,,,,,,,,,,,,,,
