meta,sender,sender_type,sender_id,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,age,gender,english,education,country,textLLM,switch,textHuman,response,response_action,competency,attitude,impact,creative_humor,accept_plot,negative_diversity,original_human,accept_dialogue,creative_story,creative_characters,negative_audience,accept_edit,better_llm,negative_writers,accept_script,diminish_originality
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/the-manuscript-study/692b209fa99d9e200d04adbb"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""da-DK"",""locale"":""en-GB"",""timeZone"":""Europe/Copenhagen"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":852,""window_innerWidth"":1440,""window_innerHeight"":900,""devicePixelRatio"":2}",Welcome,html.Page,0,form submission,20692.1,730,732.632,733.4,21425.5,21426.599999999627,2025-11-29T16:35:00.235Z,21449.5,QU6RRpzbf9,incremental,the-manuscript-study,69299244a99d9e200d04a72a,participant,hcpib6bxmikicoga,703678,,,,,,,,,,,,,,,,,,,,,,,,,,
,Personal information,html.Page,1,form submission,32380.599999999627,21426.800000000745,21433.052,21449.5,53830.09999999963,53830.40000000037,2025-11-29T16:35:32.639Z,53848.6,QU6RRpzbf9,incremental,the-manuscript-study,69299244a99d9e200d04a72a,participant,hcpib6bxmikicoga,,22,male,yes,highschool,denmark,,,,,,,,,,,,,,,,,,,,,
,"Derry Girls check ",html.Page,2,form submission,12189.200000000747,53830.59999999963,53832.926,53848.6,66037.80000000075,66038,2025-11-29T16:35:44.846Z,66065.1,QU6RRpzbf9,incremental,the-manuscript-study,69299244a99d9e200d04a72a,participant,hcpib6bxmikicoga,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Explanation Text,html.Page,3,form submission,23595.399999999994,66038.30000000075,66032.794,66065.1,89660.5,89660.90000000037,2025-11-29T16:36:08.469Z,89682,QU6RRpzbf9,incremental,the-manuscript-study,69299244a99d9e200d04a72a,participant,hcpib6bxmikicoga,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Showing scenes,html.Page,4_0_0,response,179037.30000000075,89661.09999999963,89664.892,89682,268719.30000000075,268724.5999999996,2025-11-29T16:39:07.574Z,268745.7,QU6RRpzbf9,incremental,the-manuscript-study,69299244a99d9e200d04a72a,participant,hcpib6bxmikicoga,,,,,,,"[In Erin’s bedroom. Erin is putting on a dress. Orla is doing her hair. Clare peeks in.]<br> Clare: Erin, you really think you should wear *that* to a boy’s party?<br> Erin: Better than looking like a blowfish, Clare. (frowns at her dress in the mirror)<br> James: (from the doorway) Confidence, Erin! Be bold like a hawk, not stiff like a blowfish.<br> Orla: Ew, James. Nobody wants to be a blowfish.<br> Erin: I’m not sure I want to go, though. A boy’s party sounds… weird.<br> Michelle: Weird? Erin, boy’s party = opportunity. Opportunity to be *sexy*. (strikes a pose)<br> Erin: Sexy? Mum, I’m thirteen. If I try to be sexy, I'll look ridiculous.<br> Michelle: Ridiculous sells, sweetheart. Sometimes ridiculous is the look.<br> Clare: Look, just be yourself. Unless you’re a blowfish. Then pick a look.<br> Orla: And if you're going to be sexy, wear red. Red distracts the eye from bad dancing.<br> James: (rolls his eyes) Are we styling Erin or sending her to battle?<br> Erin: I just don’t want to regret it later. What if I spill something everywhere?<br> Michelle: Spill? Then you’ll clean it up, or someone else will.<br> Jon: (knocks and enters) Hey, girls. You're all ready?<br> Erin: I think so. Or I’m somewhere between sexy and sensible.<br> Jon: That’s perfect. No one notices sensible anyway, Erin. Go with the sexy.<br> James: See? Jon gets it. Confidence, eye contact, smile. Not blowfish.<br> Erin: (sighs) Fine. Eye contact. Smile. And maybe red lips.<br> Orla: Don’t let any boys see your diary tonight either. That’s reserved for your enemies.<br> Clare: Enemy? Who needs enemies when you’ve got siblings?<br> James: Erin, promise me one thing—you’ll dance even if it feels silly.<br> Erin: Promise. (takes a deep breath, fixes her dress) Let’s go make a memory, not a mannequin.<br> Michelle: That’s my girl. Now—smart phone... red lips... strut out that door!",false,"[Night time. Michelle, Erin, Clare, James and Orla sneak out of their room in their pyjamas.]<br> ERIN: I'm not sure about this.<br> MICHELLE: I knew you'd fanny out!<br> ERIN: These lads have moves. You said so yourself, Michelle. And I haven't got any moves!<br> (They walk up the stairs.)<br> MICHELLE: Look, let's just get in there, have a few drinks, and just loosen up a bit.<br> CLARE: No! No loosening up! I don't like it!<br> JAMES: Just be confident, Erin. Boys like that.<br> MICHELLE: How the fuck would you know what boys like?<br> JAMES: Cause I'm a boy, Michelle. I'm a real live boy.<br> ORLA: Aw, yeah, like Pinocchio.<br> (They reach the boys' door.)<br> MICHELLE: (touching Erin's hair) Listen be sexy, okay?<br> ERIN: Sexy, right.<br> (Erin leans against the wall and pouts.)<br> MICHELLE: I said be sexy, not be a fucking blowfish, Erin.<br> (Erin looks offended and tries to be sexy again. Michelle knocks.)<br> (Jon opens the door, looking confused.)<br> JAMES: Hello, mate.<br> MICHELLE: We heard you boys are having a party.<br> JON: No?<br> MICHELLE: Well yous are now.<br> (They all walk into the room. Orla stares at Jon close to his face. He looks scared.)<br>",right,keypress(d),,,,,,,,,,,,,,,,
,interval,canvas.Screen,4_0_1,response,1915.3999999996158,268724.9000000004,268729.818,268745.7,270661.0999999996,270666,2025-11-29T16:39:09.515Z,270696.6,QU6RRpzbf9,incremental,the-manuscript-study,69299244a99d9e200d04a72a,participant,hcpib6bxmikicoga,,,,,,,"[In Erin’s bedroom. Erin is putting on a dress. Orla is doing her hair. Clare peeks in.]<br> Clare: Erin, you really think you should wear *that* to a boy’s party?<br> Erin: Better than looking like a blowfish, Clare. (frowns at her dress in the mirror)<br> James: (from the doorway) Confidence, Erin! Be bold like a hawk, not stiff like a blowfish.<br> Orla: Ew, James. Nobody wants to be a blowfish.<br> Erin: I’m not sure I want to go, though. A boy’s party sounds… weird.<br> Michelle: Weird? Erin, boy’s party = opportunity. Opportunity to be *sexy*. (strikes a pose)<br> Erin: Sexy? Mum, I’m thirteen. If I try to be sexy, I'll look ridiculous.<br> Michelle: Ridiculous sells, sweetheart. Sometimes ridiculous is the look.<br> Clare: Look, just be yourself. Unless you’re a blowfish. Then pick a look.<br> Orla: And if you're going to be sexy, wear red. Red distracts the eye from bad dancing.<br> James: (rolls his eyes) Are we styling Erin or sending her to battle?<br> Erin: I just don’t want to regret it later. What if I spill something everywhere?<br> Michelle: Spill? Then you’ll clean it up, or someone else will.<br> Jon: (knocks and enters) Hey, girls. You're all ready?<br> Erin: I think so. Or I’m somewhere between sexy and sensible.<br> Jon: That’s perfect. No one notices sensible anyway, Erin. Go with the sexy.<br> James: See? Jon gets it. Confidence, eye contact, smile. Not blowfish.<br> Erin: (sighs) Fine. Eye contact. Smile. And maybe red lips.<br> Orla: Don’t let any boys see your diary tonight either. That’s reserved for your enemies.<br> Clare: Enemy? Who needs enemies when you’ve got siblings?<br> James: Erin, promise me one thing—you’ll dance even if it feels silly.<br> Erin: Promise. (takes a deep breath, fixes her dress) Let’s go make a memory, not a mannequin.<br> Michelle: That’s my girl. Now—smart phone... red lips... strut out that door!",,"[Night time. Michelle, Erin, Clare, James and Orla sneak out of their room in their pyjamas.]<br> ERIN: I'm not sure about this.<br> MICHELLE: I knew you'd fanny out!<br> ERIN: These lads have moves. You said so yourself, Michelle. And I haven't got any moves!<br> (They walk up the stairs.)<br> MICHELLE: Look, let's just get in there, have a few drinks, and just loosen up a bit.<br> CLARE: No! No loosening up! I don't like it!<br> JAMES: Just be confident, Erin. Boys like that.<br> MICHELLE: How the fuck would you know what boys like?<br> JAMES: Cause I'm a boy, Michelle. I'm a real live boy.<br> ORLA: Aw, yeah, like Pinocchio.<br> (They reach the boys' door.)<br> MICHELLE: (touching Erin's hair) Listen be sexy, okay?<br> ERIN: Sexy, right.<br> (Erin leans against the wall and pouts.)<br> MICHELLE: I said be sexy, not be a fucking blowfish, Erin.<br> (Erin looks offended and tries to be sexy again. Michelle knocks.)<br> (Jon opens the door, looking confused.)<br> JAMES: Hello, mate.<br> MICHELLE: We heard you boys are having a party.<br> JON: No?<br> MICHELLE: Well yous are now.<br> (They all walk into the room. Orla stares at Jon close to his face. He looks scared.)<br>",,keypress,,,,,,,,,,,,,,,,
,trial,flow.Sequence,4_0,completion,180979.09999999963,89661,89664.892,89682,270661.0999999996,270666.5,2025-11-29T16:39:09.516Z,270696.6,QU6RRpzbf9,incremental,the-manuscript-study,69299244a99d9e200d04a72a,participant,hcpib6bxmikicoga,,,,,,,"[In Erin’s bedroom. Erin is putting on a dress. Orla is doing her hair. Clare peeks in.]<br> Clare: Erin, you really think you should wear *that* to a boy’s party?<br> Erin: Better than looking like a blowfish, Clare. (frowns at her dress in the mirror)<br> James: (from the doorway) Confidence, Erin! Be bold like a hawk, not stiff like a blowfish.<br> Orla: Ew, James. Nobody wants to be a blowfish.<br> Erin: I’m not sure I want to go, though. A boy’s party sounds… weird.<br> Michelle: Weird? Erin, boy’s party = opportunity. Opportunity to be *sexy*. (strikes a pose)<br> Erin: Sexy? Mum, I’m thirteen. If I try to be sexy, I'll look ridiculous.<br> Michelle: Ridiculous sells, sweetheart. Sometimes ridiculous is the look.<br> Clare: Look, just be yourself. Unless you’re a blowfish. Then pick a look.<br> Orla: And if you're going to be sexy, wear red. Red distracts the eye from bad dancing.<br> James: (rolls his eyes) Are we styling Erin or sending her to battle?<br> Erin: I just don’t want to regret it later. What if I spill something everywhere?<br> Michelle: Spill? Then you’ll clean it up, or someone else will.<br> Jon: (knocks and enters) Hey, girls. You're all ready?<br> Erin: I think so. Or I’m somewhere between sexy and sensible.<br> Jon: That’s perfect. No one notices sensible anyway, Erin. Go with the sexy.<br> James: See? Jon gets it. Confidence, eye contact, smile. Not blowfish.<br> Erin: (sighs) Fine. Eye contact. Smile. And maybe red lips.<br> Orla: Don’t let any boys see your diary tonight either. That’s reserved for your enemies.<br> Clare: Enemy? Who needs enemies when you’ve got siblings?<br> James: Erin, promise me one thing—you’ll dance even if it feels silly.<br> Erin: Promise. (takes a deep breath, fixes her dress) Let’s go make a memory, not a mannequin.<br> Michelle: That’s my girl. Now—smart phone... red lips... strut out that door!",,"[Night time. Michelle, Erin, Clare, James and Orla sneak out of their room in their pyjamas.]<br> ERIN: I'm not sure about this.<br> MICHELLE: I knew you'd fanny out!<br> ERIN: These lads have moves. You said so yourself, Michelle. And I haven't got any moves!<br> (They walk up the stairs.)<br> MICHELLE: Look, let's just get in there, have a few drinks, and just loosen up a bit.<br> CLARE: No! No loosening up! I don't like it!<br> JAMES: Just be confident, Erin. Boys like that.<br> MICHELLE: How the fuck would you know what boys like?<br> JAMES: Cause I'm a boy, Michelle. I'm a real live boy.<br> ORLA: Aw, yeah, like Pinocchio.<br> (They reach the boys' door.)<br> MICHELLE: (touching Erin's hair) Listen be sexy, okay?<br> ERIN: Sexy, right.<br> (Erin leans against the wall and pouts.)<br> MICHELLE: I said be sexy, not be a fucking blowfish, Erin.<br> (Erin looks offended and tries to be sexy again. Michelle knocks.)<br> (Jon opens the door, looking confused.)<br> JAMES: Hello, mate.<br> MICHELLE: We heard you boys are having a party.<br> JON: No?<br> MICHELLE: Well yous are now.<br> (They all walk into the room. Orla stares at Jon close to his face. He looks scared.)<br>",,,,,,,,,,,,,,,,,,
,Showing scenes,html.Page,4_1_0,response,189450.10000000114,270666.80000000075,270663.2,270696.6,460146.7000000011,460151.9000000004,2025-11-29T16:42:19.008Z,460176.5,QU6RRpzbf9,incremental,the-manuscript-study,69299244a99d9e200d04a72a,participant,hcpib6bxmikicoga,,,,,,,"[In the Quinn living room. Mary is ironing Erin’s uniform. Orla is reading a parish bulletin.]<br> Mary: Erin, you’d best hurry—Mass starts in fifteen. Have you seen Bill?<br> Erin: Bill? He’s been gone all morning. I reckon he’s headed to chapel already.<br> Orla: (looking up) I heard something on the radio. The Clintons might be in Burt.<br> Mary: Saints preserve us. The Clintons in Burt is bad enough—what are they after now?<br> (Bill enters, looking bewildered. A taxi driver’s cap in hand.)<br> Erin: Where’ve you been? We thought you’d left for Mass.<br> Bill: I was picked up—Taxi from Burt. Dispatcher said they needed me at chapel.<br> Mary: What do you mean “they needed you”? For what part of the service?<br> Bill: I’m supposed to read a passage. Some request from the parish—they said they sent for someone dependable.<br> Orla: (sniffs) Dependable? More like someone handy to hang onto when the Clintons roll in.<br> Mary: Well, if the Clintons are coming, we’ll need to be on our best behaviour.<br> Bill: The dispatcher seemed nervous. Kept mentioning “feeling the air stiff” in Burt.<br> Erin: Air stiff? Sounds like trouble brewing—politics or otherwise.<br> Mary: Don’t you go mixing politics with the holy, Erin. Mass isn’t the place.<br> Orla: Yet they drag us into it all the same—crossfire comes in many garments.<br> Bill: Whatever they want, I’ll read the passage as asked. God alone knows my heart’s in the right place.<br> (They exit together toward the chapel. Mary murmurs nervously.)<br> Mary: May it be good, not scandalous.<br>",false,"[In the taxi rank.]<br> Granda Joe: Excuse me, son.<br> Man: Where to?<br> Granda Joe: We were just wondering, have you seen the Clintons knocking about around here?<br> Man: The Clintons?<br> Jim: We have reason to believe they're staying in this vicinity.<br> Man: What would the Clintons be doing in Burt?<br> (A man walks in.)<br> Man: Heading to the chapel, Bill?<br> Bill: Aye.<br> Man: (into mic) Anybody free to pick up Bill from base? Over. Anybody near base at all? Over.<br> Over radio: All right, back in five.<br> Man: Five minutes, Bill.<br> Bill: (nodding and smiling) Good.<br> Gerry: Now, Jim, would you be open to the following possibility at all, that it may not have been a CIA agent you were picking up on that transmitter of yours. That there is in fact a good chance it was a taxi dispatcher from Burt, ordering a car here to bring Bill to mass?<br> Jim: He did have a strong Donegal accent, now that you mention it.<br> Granda Joe: Jesus, Jim!",right,keypress(d),,,,,,,,,,,,,,,,
,interval,canvas.Screen,4_1_1,response,1193.0999999996275,460152.0999999996,460143.754,460176.5,461369.5999999996,461374.5,2025-11-29T16:42:20.230Z,461393,QU6RRpzbf9,incremental,the-manuscript-study,69299244a99d9e200d04a72a,participant,hcpib6bxmikicoga,,,,,,,"[In the Quinn living room. Mary is ironing Erin’s uniform. Orla is reading a parish bulletin.]<br> Mary: Erin, you’d best hurry—Mass starts in fifteen. Have you seen Bill?<br> Erin: Bill? He’s been gone all morning. I reckon he’s headed to chapel already.<br> Orla: (looking up) I heard something on the radio. The Clintons might be in Burt.<br> Mary: Saints preserve us. The Clintons in Burt is bad enough—what are they after now?<br> (Bill enters, looking bewildered. A taxi driver’s cap in hand.)<br> Erin: Where’ve you been? We thought you’d left for Mass.<br> Bill: I was picked up—Taxi from Burt. Dispatcher said they needed me at chapel.<br> Mary: What do you mean “they needed you”? For what part of the service?<br> Bill: I’m supposed to read a passage. Some request from the parish—they said they sent for someone dependable.<br> Orla: (sniffs) Dependable? More like someone handy to hang onto when the Clintons roll in.<br> Mary: Well, if the Clintons are coming, we’ll need to be on our best behaviour.<br> Bill: The dispatcher seemed nervous. Kept mentioning “feeling the air stiff” in Burt.<br> Erin: Air stiff? Sounds like trouble brewing—politics or otherwise.<br> Mary: Don’t you go mixing politics with the holy, Erin. Mass isn’t the place.<br> Orla: Yet they drag us into it all the same—crossfire comes in many garments.<br> Bill: Whatever they want, I’ll read the passage as asked. God alone knows my heart’s in the right place.<br> (They exit together toward the chapel. Mary murmurs nervously.)<br> Mary: May it be good, not scandalous.<br>",,"[In the taxi rank.]<br> Granda Joe: Excuse me, son.<br> Man: Where to?<br> Granda Joe: We were just wondering, have you seen the Clintons knocking about around here?<br> Man: The Clintons?<br> Jim: We have reason to believe they're staying in this vicinity.<br> Man: What would the Clintons be doing in Burt?<br> (A man walks in.)<br> Man: Heading to the chapel, Bill?<br> Bill: Aye.<br> Man: (into mic) Anybody free to pick up Bill from base? Over. Anybody near base at all? Over.<br> Over radio: All right, back in five.<br> Man: Five minutes, Bill.<br> Bill: (nodding and smiling) Good.<br> Gerry: Now, Jim, would you be open to the following possibility at all, that it may not have been a CIA agent you were picking up on that transmitter of yours. That there is in fact a good chance it was a taxi dispatcher from Burt, ordering a car here to bring Bill to mass?<br> Jim: He did have a strong Donegal accent, now that you mention it.<br> Granda Joe: Jesus, Jim!",,keypress,,,,,,,,,,,,,,,,
,trial,flow.Sequence,4_1,completion,190672.99999999965,270666.7000000011,270663.2,270696.6,461369.5999999996,461374.9000000004,2025-11-29T16:42:20.231Z,461393,QU6RRpzbf9,incremental,the-manuscript-study,69299244a99d9e200d04a72a,participant,hcpib6bxmikicoga,,,,,,,"[In the Quinn living room. Mary is ironing Erin’s uniform. Orla is reading a parish bulletin.]<br> Mary: Erin, you’d best hurry—Mass starts in fifteen. Have you seen Bill?<br> Erin: Bill? He’s been gone all morning. I reckon he’s headed to chapel already.<br> Orla: (looking up) I heard something on the radio. The Clintons might be in Burt.<br> Mary: Saints preserve us. The Clintons in Burt is bad enough—what are they after now?<br> (Bill enters, looking bewildered. A taxi driver’s cap in hand.)<br> Erin: Where’ve you been? We thought you’d left for Mass.<br> Bill: I was picked up—Taxi from Burt. Dispatcher said they needed me at chapel.<br> Mary: What do you mean “they needed you”? For what part of the service?<br> Bill: I’m supposed to read a passage. Some request from the parish—they said they sent for someone dependable.<br> Orla: (sniffs) Dependable? More like someone handy to hang onto when the Clintons roll in.<br> Mary: Well, if the Clintons are coming, we’ll need to be on our best behaviour.<br> Bill: The dispatcher seemed nervous. Kept mentioning “feeling the air stiff” in Burt.<br> Erin: Air stiff? Sounds like trouble brewing—politics or otherwise.<br> Mary: Don’t you go mixing politics with the holy, Erin. Mass isn’t the place.<br> Orla: Yet they drag us into it all the same—crossfire comes in many garments.<br> Bill: Whatever they want, I’ll read the passage as asked. God alone knows my heart’s in the right place.<br> (They exit together toward the chapel. Mary murmurs nervously.)<br> Mary: May it be good, not scandalous.<br>",,"[In the taxi rank.]<br> Granda Joe: Excuse me, son.<br> Man: Where to?<br> Granda Joe: We were just wondering, have you seen the Clintons knocking about around here?<br> Man: The Clintons?<br> Jim: We have reason to believe they're staying in this vicinity.<br> Man: What would the Clintons be doing in Burt?<br> (A man walks in.)<br> Man: Heading to the chapel, Bill?<br> Bill: Aye.<br> Man: (into mic) Anybody free to pick up Bill from base? Over. Anybody near base at all? Over.<br> Over radio: All right, back in five.<br> Man: Five minutes, Bill.<br> Bill: (nodding and smiling) Good.<br> Gerry: Now, Jim, would you be open to the following possibility at all, that it may not have been a CIA agent you were picking up on that transmitter of yours. That there is in fact a good chance it was a taxi dispatcher from Burt, ordering a car here to bring Bill to mass?<br> Jim: He did have a strong Donegal accent, now that you mention it.<br> Granda Joe: Jesus, Jim!",,,,,,,,,,,,,,,,,,
