num_lines,summary,scene
23,"Michelle, Erin, Clare, James, Orla, Jon and Orla are going to a boy's party. Erin is not sure about it. James tells her to be confident and not be a blowfish. Michelle tells Erin to be sexy.","[In Erin’s bedroom. Erin is putting on a dress. Orla is doing her hair. Clare peeks in.]

1. Clare: Erin, you really think you should wear *that* to a boy’s party?

2. Erin: Better than looking like a blowfish, Clare. (frowns at her dress in the mirror)

3. James: (from the doorway) Confidence, Erin! Be bold like a hawk, not stiff like a blowfish.

4. Orla: Ew, James. Nobody wants to be a blowfish.

5. Erin: I’m not sure I want to go, though. A boy’s party sounds… weird.

6. Michelle: Weird? Erin, boy’s party = opportunity. Opportunity to be *sexy*. (strikes a pose)

7. Erin: Sexy? Mum, I’m thirteen. If I try to be sexy, I'll look ridiculous.

8. Michelle: Ridiculous sells, sweetheart. Sometimes ridiculous is the look.

9. Clare: Look, just be yourself. Unless you’re a blowfish. Then pick a look.

10. Orla: And if you're going to be sexy, wear red. Red distracts the eye from bad dancing.

11. James: (rolls his eyes) Are we styling Erin or sending her to battle?

12. Erin: I just don’t want to regret it later. What if I spill something everywhere?

13. Michelle: Spill? Then you’ll clean it up, or someone else will.

14. Jon: (knocks and enters) Hey, girls. You're all ready?

15. Erin: I think so. Or I’m somewhere between sexy and sensible.

16. Jon: That’s perfect. No one notices sensible anyway, Erin. Go with the sexy.

17. James: See? Jon gets it. Confidence, eye contact, smile. Not blowfish.

18. Erin: (sighs) Fine. Eye contact. Smile. And maybe red lips.

19. Orla: Don’t let any boys see your diary tonight either. That’s reserved for your enemies.

20. Clare: Enemy? Who needs enemies when you’ve got siblings?

21. James: Erin, promise me one thing—you’ll dance even if it feels silly.

22. Erin: Promise. (takes a deep breath, fixes her dress) Let’s go make a memory, not a mannequin.

23. Michelle: That’s my girl. Now—smart phone... red lips... strut out that door!"
15,Clare hasn't said a word since last night. James is wearing his pink waterproof trousers. He did it for a laugh. Erin and Michelle want to swap Harry.,"[In the Quinn living room. Clare sits silent on the couch, looking down. James stands nearby in bright pink waterproof trousers, grinning. Erin and Michelle whisper to each other.]

Erin: (whispering, to Michelle) Do you think James knows how much he looks like a… a flaming flamingo?

Michelle: (stifling laughter) I’m not sure. He seems proud of it.

James: (joining in) Come on! These trousers are waterproof. I could stomp through a flood and still keep my dignity.

Erin: Dignity? In pink that loud? I’d hear you from the moon, lad.

Mary: (offstage, calling) Michelle! Erin! Why are you two sneaking around like you're planning a bank heist?

Michelle: (boldly) Mammy, we want to swap Harry.

Mary: Swap Harry? What are you on about?

Erin: Harry from Friends Across the Barricades. You know, Michelle’s crush.

Michelle: We figured if Erin gets Harry, I get... well, someone else.

Mary: (exasperated) You can’t just swap people like you swap sandwiches!

James: (poking in) What about me? Am I part of this trade?

Erin: (ignoring him) Clare, you’re not talking. You’re not even blinking. What’s wrong?

[Clare lifts her head slowly. She opens mouth to speak.]

Erin: Speak, Clare. We can’t make plans in the dark.

Clare: (softly) I…I heard everything last night.

[Silence. Erin and Michelle exchange a look.]

Michelle: (concerned) About Harry?

Clare: About you all… about everything.

[In the pause, James stands firm, pink trousers glinting under lights. Erin looks torn; Michelle hopes.]

Erin: Then we need to talk. All of us together. This swapping nonsense stops unless everyone's okay.

Mary: (entering room) Finally, some sense returning.

[Scene ends.]"
20,The Child of Prague statue that the Bishop gifted to Our Lady Immaculate College was passed around the Derry Diocese. Sister Patrick has left the school for a missionary work in Belfast. Ms. De Brn is the new English teacher.,"[In the school corridor. Erin and Orla are waiting outside their English classroom. Erin clutches a small prayer card.]

ERIN: I still can’t believe the Statue of the Child of Prague is here in school. Did you hear Ms. De Brn got it from the Bishop himself?

ORLA: Aye—just passed around the Derry Diocese like a holy hot potato.  

ERIN: It’s supposed to bring good luck. Maybe it’ll bless my essays, finally.

ORLA: Or maybe Ms. De Brn will use it as a punishment. “Miss a comma, thou shalt not pass.”

(Ms. De Brn opens the door.)

MS. DE BRN: Good morning, girls. Hope you’re ready for English—today we begin poetry.

ERIN: Morning, Ms. De Brn. Will the Child of Prague help us with rhymes, do you think?

MS. DE BRN: Possibly. But I expect you to work as hard as if you were standing in front of him.

ORLA: Even if we mess up, he might forgive us?

MS. DE BRN: With enough effort, yes. But I’m not a saint.

(They enter classroom; Sister Michael is inside placing the statue on a shelf.)

SISTER MICHAEL: Classes are about to begin. I’d like to remind everyone Sister Patrick will not be returning—her missionary work in Belfast starts next week.

ERIN (whispering to Orla): That’s where all the drama is, right?

ORLA: Belfast... the big leagues of trouble.

MARY: (offstage, calling through window) Erin! Don’t forget your blazer! And who’s taking care of the Child of Prague during Georgina’s lockdown?

GERRY: (following Mary) I saw him—statue’s safe. Sister Michael’s minding him.

ERIN: Thank God. I couldn't live with myself if the Bishop got word that we lost his Baby Jesus.

MS. DE BRN: Now, for today’s poem: explore injustice. Compare your knee-jerk reactions to suffering—Saints, statues, and school alike.

ORLA: (to Erin) This’ll be good. Maybe I’ll write about that time Mammy banned us from the bridge.

ERIN: That, and how Sister Declan died... except almost ninety-eight didn’t stop us freaking out.

MS. DE BRN: Excellent material. You two—pull up chairs. And remember—violence is less helpful than understanding. Even for statuary."
17,"Erin is writing a love story for her partner. She is frustrated that she has to explain the meaning of the word ""bide"" to Michelle and James.","[In Erin’s bedroom. Erin sits at her desk, writing in a notebook. Michelle knocks and enters.]

Michelle: What’re you writing, Erin?

Erin: It’s a love story... for someone special.

[James slips in behind Michelle.]

James: Ah, romance! Are you going to read it out loud?

Erin: Not yet. I just used a word and they’re asking me what it means.

Michelle: Which word? Is it one of those posh words like “beguile” or something?

Erin: No—it’s “bide.” I wrote: “He will bide with her until dawn.”

Michelle: Bide...? What does that even mean? Stay? Wait?

Erin: Exactly, sort of. “Bide” means to stay somewhere or remain somewhere for a time… to wait.

James: So like when Dad says he’ll bide till the craic’s over before going home?

Erin: Yes, James, exactly like that—but in a romantic way, not your da’s pub habits.

[Mary sticks her head in the door.]

Michelle: Mam, can you help? What does “bide” mean?

Mary: “Bide” is like when you wait for something good—you don’t rush it. You stay patient, you hope.

Erin: Thank you, Mam. Finally someone gets it.

James: So in your story, the lad bides with the lass because he’s waiting for love, not because he’s stuck?

Erin: Precisely! Get your brains in gear, James.

Michelle: Right, now I understand. Go on, read more!"
28,"Erin, James, Michelle, Orla and Clare have just known Ms. De Brn for two days and they love her. She invited them to her house at night.","[Evening. De Brún’s living room. Soft lamplight. Erin, James, Michelle, Orla, and Clare sit on a worn couch and armchairs. De Brún enters with tea tray.]

De Brún: (smiling) Here we are. Hot tea and biscuits. Nothing too fancy—just us.

Erin: (accepting cup) Thanks, Ms. De Brún. This is lovely.

Clare: This house feels so warm. Like it’s breathing.

Michelle: I like your curtains, Ms. De Brún. They’re purple—but not too scary purple.

James: (peeking at photos on mantelpiece) Who’s that man in the sailing boat?

De Brún: That’s my father. He loved boats. Used to take me out every summer.

Orla: You’re lucky. My grandma once took me on a paddleboat. I almost drowned.

Erin: Orla! You’re always dramatic.

Orla: A little drama is good. It keeps the heart beating.

De Brún: (laughs) Would anyone like more tea? Or perhaps some hot chocolate?

Michelle: Hot chocolate, please! With marshmallows if you have them.

James: Yes! Marshmallows are essential to any evening.

Clare: I’ll have tea, thank you.

Erin: Hot chocolate for me too.

[De Brún pours drinks, handing them out.]

De Brún: So, tell me honestly—what do you like about me so far?

Erin: (considering) You’re... different. You listen.

Michelle: And you don’t always punish us. You talk.

James: You laugh. And sometimes you let us choose the music.

Orla: You don’t judge. Even when we fight, you don’t take sides. That’s nice.

De Brún: (quietly) Thank you. That means more than you know.

Clare: It’s weird—just two days. Feels like I’ve always known you.

Erin: Me too. I was braced for lectures, uniforms, rules. Instead, you let us be.

[Door creaks. De Brún pauses.]

De Brún: Shall I put on some music?

Erin: Yes! Something rock or Gaelic or—

Michelle: Anything but funeral dirge.

Orla: (grinning) Or opera. Let opera surprise us!

[De Brún presses play; gentle guitar strumming begins. The room softens.]

De Brún: There, just some acoustic folk. Thought it might suit the moment.

James: It suits. Feels… peaceful.

Erin: (raising her mug) To new beginnings. And to you, Ms. De Brún.

Everyone: To Ms. De Brún.

[They clink mugs. Music plays. Moments of comfortable silence.]

Clare: Will we do this again? Night at yours?

De Brún: Of course, Clare. My door’s always open.

Erin: (smiling) Then tonight, I think I just found a home away from home.

De Brún: And I’m honored to share it with all of you."
17,Clare was at Ms. De Brn's house at night. She was drunk. Jenny Joyce and Erin are on the street.,"[On a dimly lit Belfast street late at night. Erin and Jenny Joyce are standing outside a house, waiting.]

1. Jenny Joyce: Do you think she’s okay in there, Erin?

2. Erin: (frowning) She stank of drink when I left her. I don’t know about okay, Jes.

3. Jenny Joyce: Maybe she just needed to get away. Ms. De Brn’s place has a fire in the fireplace. Warm.

4. Erin: Warm’s one thing. But her tears were warm too. Real hot.

5. Jenny Joyce: (scoffs) You and Clare, you two are cut from the same cloth, Erin. Reckless, stubborn.

6. Erin: Reckless? Maybe. But I won’t just leave her to sober up alone in someone else’s house.

7. Jenny Joyce: What if Ms. De Brn kicks us out? She’s strict about visitors this late.

8. Erin: Better kicked out than worrying ourselves sick. Come on.

[They both approach the front door. Erin lifts her fist to knock.]

9. Erin: (shouts) Clare! You in there? It’s Erin!

10. (Silence. A faint giggle comes from inside.)

11. Jenny Joyce: She’s laughing, Jen. That ain’t a good thing.

12. Erin: (voice shaking) Clare… open up. Jaysus, you’re scaring me.

13. (Door creaks. Clare appears in the doorway, dishevelled, eyes red.)

14. Clare: Erin. Jes. Don’t come in. I’m fine.

15. Erin: You’re not fine. You’re swaying like a lamppost in wind.

16. Claire: It’s just the drink talking. I’ll sleep it off.

17. Jenny Joyce: Then we’ll be right here till you sober up. We’ve got mad notions of responsibility now, Erin.

[Erin places a steadying arm around Clare’s shoulder as Jenny Joyce looks on anxiously.]"
21,Ms. De Brn is no longer in the class. Sister Michael will be taking this class for the rest of the term.,"[Scene: The Quinn kitchen. Orla is at the table doing homework. Erin bursts in, backpack slung over shoulder. Mary is brewing tea. Granda Joe is sitting reading the paper.]

Erin: Mammy! Did you hear? Sister Michael’s taking our class now – for the rest of the term!

Mary: (startled) What? Is that proper?

Orla: (without looking up) Oh great. More nuns. As if one wasn’t enough.

Erin: I thought Ms. De Brn was harsh but—Sister Michael sings hymns in detention now. Hymns!

Granda Joe: Aye, but she might be better than that old git Ms. De Brn, God rest her soul.

Mary: Let’s not speak ill of the gone, Gerald.

[Cut to: Classroom. Sister Michael at the front, chalk in hand. Students murmur. Erin and Clare sit together.]

Sister Michael: Settle down, children. As you know, I will be teaching you for the rest of the term.

Clare: (whispering to Erin) Any idea where Ms. De Brn’s gone?

Erin: Dunno. Probably politics. Or hiding from us lot.

Sister Michael: Today’s lesson is poetry. I want each of you to write about something you care deeply about.

Orla: (in thought) Conflict? Identity? The bridge? Bombs?

Erin: (leans over) Don’t you dare write about bombs again. I’ve done enough trauma.

Sister Michael: Erin, your voice is important. If you want to write about bombs, write about your truth.

[Back in kitchen: Mary wiping a teacup. Gerry enters, looking dishevelled.]

Gerry: What chaos in there? I swear the school sounded like a cathedral full of banshees.

Mary: That’s Sister Michael for you. She’s moved mountains in that class already.

Granda Joe: (smirks) Mountains, or hymns. Same thing to my ears.

Gerry: Sure, at least there’s no Ms. De Brn lurking behind every desk, breathing down their necks.

Mary: Let’s hope this Sister Michael doesn’t go all Ms. De Brn on them.

[Back in classroom.]

Erin: (writing) …“In the silence between bombs I hear hope…” No, too lofty.

Sister Michael: Beautiful, Erin. Don’t censor your heart.

Orla: (quietly) Maybe this term won’t be such a disaster after all.

[Erin glances at Orla, slightly moved.]

Erin: (softly) Maybe not."
19,The kids walk with their bags. They need to go south-east for 0.5 miles and will receive further instructions shortly.,"[Outside Erin’s house. Erin and Orla are each shoulder-strapping backpacks. Morning light.]

Erin: Are you sure there’s no breakfast first?

Orla: There’s a banana in my bag. Your Ma made the toast.

Erin: Fine. (slings bag) South-east for half a mile, she said. Then wait. More instructions.

Orla: Why south-east though? Why not just go east?

Erin: She’s always fancied compass points. Learned them during the Troubles, she says.

[They step off the porch and begin walking down the lane.]

Mary: (from doorway) Girls! Did you pack enough socks?

Erin: (calling back) Socks are in, Ma! And two bottles of water.

Mary: Good. And stay together. Whatever comes next.

Orla: (quietly) Erin, what if the instructions are stupid?

Erin: We’ll make them less stupid. That’s what we’re good at.

[They round the corner and head along a narrow road toward south-east.]

Orla: I hate marches like this. All this walking and nobody telling you when it's going to end.

Erin: Think of it like a treasure hunt. With imminent danger.

Orla: That’s ___ comforting.

[They walk past a row of closed shops, bags heavy on shoulders.]

Erin: Half a mile isn’t far. Shouldn’t take more than ten minutes.

Orla: And then?

Erin: Then we wait. Maybe messages. Maybe people. Whoever.

Orla: Promise we’ll go home if it gets mad dangerous?

Erin: I promise. Nothing’s worth risking you.

Orla: Thanks. (smiles) Now hurry up—I’m lagging behind.

[They continue walking, fading into the quiet street as the sky lightens.]"
19,"Dennis is out of stock of a present for Protestants. Clare, Erin, Michelle, Orla, James and Erin want him to give them the Subbuteo and pay them off in instalments.","[In Dennis’s front room. Erin, Clare, Michelle, Orla, and James are gathered; Erin holds a half-empty Subbuteo box.]

Erin: Dennis! Where’s the rest of the Subbuteo set you promised for Protestants?

Dennis: I’m sorry—out of stock. They’ve none left in Belfast, Derry—nowhere.

Clare: Out of stock?! You told us you had it yesterday!

Michelle: Yeah. And I’ve been counting on that magic midfield player since yesterday.

James: You promised instalments, too—now I’ve spent my pocket money on nothing but promise.

Orla: Instalments, instalments—they sound just like a loan shark in shiny shoes, but we’ll take it.

Erin: So what do we do? Keep waiting? You’ll buy it, or…?

Dennis: I could find a similar set from a second-hand shop but it won’t be official.

Clare: Official? Dennis, we don’t need fancy. We need Subbuteo. Protestants won’t care if it’s chipped.

Orla: As long as we can pretend it’s new at school.

James: And we still get the players in the right kits, right? No funny colours.

Dennis: Maybe. But it'll cost more. I can give you the instalment plan—half now, half later.

Erin: Fine. I’ll take half now. Michelle?

Michelle: Half now for me too. Clare? You okay with late payment?

Clare: I’ll scrape together what I can. Work at the shop this weekend.

Orla: I can help too—babysit Mrs. McCall’s dog. Any dog-sitting counts as Subbuteo fund.

James: Right. When are we paying you the rest, Dennis?

Dennis: Two weeks. Okay? Two weeks and the rest is due.

Erin: And you get us the boxes then?

Dennis: If I can. If they’re back in stock.

Orla: If not, you find another way. We’ll not be out-played.

Erin: Right. Deal.

(All nod, some reluctantly clutching coins, others sharing hopeful glances.)

[They disperse, Erin lingering, staring at Dennis.]

Erin: Thanks, Dennis. And don’t let us down. I’ve got dreams of scoring on Rory Crawford.

Dennis: I’ll not let you down, Erin. I promise.

(Erin exits; Dennis sighs, glances at the empty space once occupied by the Subbuteo set.)"
29,Jenny and Aisling are going to buy a present for the Protestants. Jenny is good friends with a half-Protestant girl whose name's Zara and she has a horse.,"[In Jenny’s bedroom. Aisling is rummaging through Jenny’s wardrobe.]

Jenny: What are you doing, Aisling?

Aisling: Trying to find something decent to wear. If we’re going to the shops to pick out a present for the Protestants, I’m not going looking like this.

Jenny: It doesn’t have to be fancy, just respectful. Zara’ll be coming with us.

Aisling: Half-Protestant, yeah? Doesn’t that count?

Jenny: It does. But you know her Mam likes tradition. We’ll need something that says “peace offering,” not “you’re culture’s crap.”

[They head downstairs. Jenny’s Mam, Siobhan, is making tea.]

Siobhan: You off to the shops?

Jenny: We are, Mam. We’re buying a present. For Zara’s Protestant part of the family.

Siobhan: (sips tea) Bridging the divide, are we?

Aisling: Something like that. Jenny’s being very grown up.

Jenny: She’s good friends with Zara. And her horse—Donny—he’d love treats too. Maybe we get something horsey.

Siobhan: Just stay away from anything that’ll start an argument, girls.

[On the street. Jenny and Aisling, walking. Zara meets them, tied to her horse Donny under a hedge.]

Zara: Hey! Ready to shop?

Jenny: Aye. We thought maybe stable stuff for Donny. And something for you and your family.

Aisling: But not too “Protestant,” or they’ll think we’re mocking them.

Zara: My Dad likes oak things. Protestant or not, he loves woodwork.

Jenny: Oak. Good. Solid.

[They reach the market. Wooden crafts stall.]

Aisling: Look at that, oak photo frame.

Jenny: Could put a picture of Zara and Donny in it.

Zara: I have that photo! (Pulls out phone) It’s lovely.

Vendor: Ah, you girls need help deciding?

Jenny: Yes please. Something meaningful.

Vendor: Perhaps this oak bread board—solid, handmade. Symbol of unity, sharing.

Aisling: That could work.

Zara: That’d be perfect for their kitchen.

Jenny: And Donny? What about some carrots?

Vendor: (smirks) Not with me, lass. But there’s a feed stall just down.

Jenny: Right. Let’s get this board, and pick up carrots after.

[They pay, board wrapped. Exit stall.]

Aisling: I think your Dad will like it, Zara.

Zara: And Donny will be nobbled with joy.

Jenny: See? Peace and carrots. Maybe this is what ‘Friends Across the Barricades’ really means.

Aisling: (smiling) Exactly. A gift, a horse, some hope.

[They walk off, Jenny carrying the oak board, Zara leading Donny.]

Zara: Thank you, Jenny. This means a lot.

Jenny: Anytime. Let’s go get Donny’s treats then.

Aisling: And maybe a cuppa after?

Jenny: You read my mind."
