,Mean,Min,Max,SD
human_scene_word_count,225.857,103.0,327.0,52.858
summary_word_count,28.943,19.0,44.0,6.664
LLM_scene_word_count,329.543,194.0,450.0,63.541
human_scene_sentence_count,32.686,18.0,46.0,6.534
human_scene_avg_sentence_length,6.966,4.704,9.967,1.283
summary_sentence_count,3.0,2.0,5.0,0.939
summary_avg_sentence_length,10.168,5.5,16.5,2.562
LLM_scene_sentence_count,57.8,34.0,90.0,14.016
LLM_scene_avg_sentence_length,5.845,4.128,8.256,1.01
human_scene_TTR,0.562,0.486,0.669,0.037
summary_TTR,0.847,0.649,1.0,0.086
LLM_scene_TTR,0.537,0.468,0.648,0.042
human_scene_CTTR,5.909,4.32,7.7,0.66
summary_CTTR,3.181,2.496,3.963,0.36
LLM_scene_CTTR,6.828,5.331,7.731,0.52
human_scene_MTLD,68.885,45.364,125.993,16.39
summary_MTLD,64.13,0.0,219.52,39.848
LLM_scene_MTLD,91.796,52.905,134.086,19.764
