scene_number,filename,summary,num_lines_after_cleaning,num_lines_original,LLM_scene,human_scene
1,episode_1_scene_12.txt,"Michelle, Erin, Clare, James, Orla, Jon and Orla are going to a boy's party. Erin is not sure about it. James tells her to be confident and not be a blowfish. Michelle tells Erin to be sexy.",24,23,"[In Erin’s bedroom. Erin is putting on a dress. Orla is doing her hair. Clare peeks in.]

1. Clare: Erin, you really think you should wear *that* to a boy’s party?

2. Erin: Better than looking like a blowfish, Clare. (frowns at her dress in the mirror)

3. James: (from the doorway) Confidence, Erin! Be bold like a hawk, not stiff like a blowfish.

4. Orla: Ew, James. Nobody wants to be a blowfish.

5. Erin: I’m not sure I want to go, though. A boy’s party sounds… weird.

6. Michelle: Weird? Erin, boy’s party = opportunity. Opportunity to be *sexy*. (strikes a pose)

7. Erin: Sexy? Mum, I’m thirteen. If I try to be sexy, I'll look ridiculous.

8. Michelle: Ridiculous sells, sweetheart. Sometimes ridiculous is the look.

9. Clare: Look, just be yourself. Unless you’re a blowfish. Then pick a look.

10. Orla: And if you're going to be sexy, wear red. Red distracts the eye from bad dancing.

11. James: (rolls his eyes) Are we styling Erin or sending her to battle?

12. Erin: I just don’t want to regret it later. What if I spill something everywhere?

13. Michelle: Spill? Then you’ll clean it up, or someone else will.

14. Jon: (knocks and enters) Hey, girls. You're all ready?

15. Erin: I think so. Or I’m somewhere between sexy and sensible.

16. Jon: That’s perfect. No one notices sensible anyway, Erin. Go with the sexy.

17. James: See? Jon gets it. Confidence, eye contact, smile. Not blowfish.

18. Erin: (sighs) Fine. Eye contact. Smile. And maybe red lips.

19. Orla: Don’t let any boys see your diary tonight either. That’s reserved for your enemies.

20. Clare: Enemy? Who needs enemies when you’ve got siblings?

21. James: Erin, promise me one thing—you’ll dance even if it feels silly.

22. Erin: Promise. (takes a deep breath, fixes her dress) Let’s go make a memory, not a mannequin.

23. Michelle: That’s my girl. Now—smart phone... red lips... strut out that door!","[Night time. Michelle, Erin, Clare, James and Orla sneak out of their room in their pyjamas.]

Erin: I'm not sure about this.

Michelle: I knew you'd fanny out!

Erin: These lads have moves. You said so yourself, Michelle. And I haven't got any moves!

(They walk up the stairs.)

Michelle: Look, let's just get in there, have a few drinks, and just loosen up a bit.

Clare: No! No loosening up! I don't like it!

James: Just be confident, Erin. Boys like that.

Michelle: How the fuck would you know what boys like?

James: Cause I'm a boy, Michelle. I'm a real live boy.

Orla: Aw, yeah, like Pinocchio.

(They reach the boys' door.)

Michelle: (touching Erin's hair) Listen be sexy, okay?

Erin: Sexy, right.

(Erin leans against the wall and pouts.)

Michelle: I said be sexy, not be a fucking blowfish, Erin.

(Erin looks offended and tries to be sexy again. Michelle knocks.)

(Jon opens the door, looking confused.)

James: Hello, mate.

Michelle: We heard you boys are having a party.

Jon: No?

Michelle: Well yous are now.

(They all walk into the room. Orla stares at Jon close to his face. He looks scared.)"
2,episode_1_scene_14.txt,Clare hasn't said a word since last night. James is wearing his pink waterproof trousers. He did it for a laugh. Erin and Michelle want to swap Harry.,23,15,"[In the Quinn living room. Clare sits silent on the couch, looking down. James stands nearby in bright pink waterproof trousers, grinning. Erin and Michelle whisper to each other.]

Erin: (whispering, to Michelle) Do you think James knows how much he looks like a… a flaming flamingo?

Michelle: (stifling laughter) I’m not sure. He seems proud of it.

James: (joining in) Come on! These trousers are waterproof. I could stomp through a flood and still keep my dignity.

Erin: Dignity? In pink that loud? I’d hear you from the moon, lad.

Mary: (offstage, calling) Michelle! Erin! Why are you two sneaking around like you're planning a bank heist?

Michelle: (boldly) Mammy, we want to swap Harry.

Mary: Swap Harry? What are you on about?

Erin: Harry from Friends Across the Barricades. You know, Michelle’s crush.

Michelle: We figured if Erin gets Harry, I get... well, someone else.

Mary: (exasperated) You can’t just swap people like you swap sandwiches!

James: (poking in) What about me? Am I part of this trade?

Erin: (ignoring him) Clare, you’re not talking. You’re not even blinking. What’s wrong?

[Clare lifts her head slowly. She opens mouth to speak.]

Erin: Speak, Clare. We can’t make plans in the dark.

Clare: (softly) I…I heard everything last night.

[Silence. Erin and Michelle exchange a look.]

Michelle: (concerned) About Harry?

Clare: About you all… about everything.

[In the pause, James stands firm, pink trousers glinting under lights. Erin looks torn; Michelle hopes.]

Erin: Then we need to talk. All of us together. This swapping nonsense stops unless everyone's okay.

Mary: (entering room) Finally, some sense returning.

[Scene ends.]","[The next day, on a hill in a field.]

Erin: (to Michelle) What's wrong with Clare? She hasn't said two words since last night.

Michelle: Well, I'm not complaining.

(Orla is clutching onto Jon. James is wearing his pink waterproof trousers.)

James: I just did it for a laugh. The trousers. I'll do anything for a laugh, me. I'm mad like that.

(Orla shoves James.)

Jon: Right.

Michelle: All right, there they are.

Erin: Okay, if we're gonna do this, Michelle, we need to do it delicately.

Michelle: Of course. Oi! Lads! We want to swap!

Erin: (annoyed) Brilliant!

Dee: Swap?

Michelle: Yeah. Erin's gonna have Harry now and I'm gonna have you, all right?

(They say nothing.)

Michelle: Great stuff. (gives thumbs up)"
3,episode_1_scene_20.txt,The Child of Prague statue that the Bishop gifted to Our Lady Immaculate College was passed around the Derry Diocese. Sister Patrick has left the school for a missionary work in Belfast. Ms. De Brn is the new English teacher.,22,20,"[In the school corridor. Erin and Orla are waiting outside their English classroom. Erin clutches a small prayer card.]

ERIN: I still can’t believe the Statue of the Child of Prague is here in school. Did you hear Ms. De Brn got it from the Bishop himself?

ORLA: Aye—just passed around the Derry Diocese like a holy hot potato.  

ERIN: It’s supposed to bring good luck. Maybe it’ll bless my essays, finally.

ORLA: Or maybe Ms. De Brn will use it as a punishment. “Miss a comma, thou shalt not pass.”

(Ms. De Brn opens the door.)

MS. DE BRN: Good morning, girls. Hope you’re ready for English—today we begin poetry.

ERIN: Morning, Ms. De Brn. Will the Child of Prague help us with rhymes, do you think?

MS. DE BRN: Possibly. But I expect you to work as hard as if you were standing in front of him.

ORLA: Even if we mess up, he might forgive us?

MS. DE BRN: With enough effort, yes. But I’m not a saint.

(They enter classroom; Sister Michael is inside placing the statue on a shelf.)

SISTER MICHAEL: Classes are about to begin. I’d like to remind everyone Sister Patrick will not be returning—her missionary work in Belfast starts next week.

ERIN (whispering to Orla): That’s where all the drama is, right?

ORLA: Belfast... the big leagues of trouble.

MARY: (offstage, calling through window) Erin! Don’t forget your blazer! And who’s taking care of the Child of Prague during Georgina’s lockdown?

GERRY: (following Mary) I saw him—statue’s safe. Sister Michael’s minding him.

ERIN: Thank God. I couldn't live with myself if the Bishop got word that we lost his Baby Jesus.

MS. DE BRN: Now, for today’s poem: explore injustice. Compare your knee-jerk reactions to suffering—Saints, statues, and school alike.

ORLA: (to Erin) This’ll be good. Maybe I’ll write about that time Mammy banned us from the bridge.

ERIN: That, and how Sister Declan died... except almost ninety-eight didn’t stop us freaking out.

MS. DE BRN: Excellent material. You two—pull up chairs. And remember—violence is less helpful than understanding. Even for statuary.","[In the assembly hall at school.]

Sister Michael: As you all know, at the beginning of term, the Bishop graciously bestowed a beautiful piece of religious art onto Our Lady Immaculate College, the enchanting Child of Prague.

(She pulls away a piece of fabric to reveal the statue.)

(James looks deeply confused.)

Sister Michael: There we are. Sure, isn't he a great fella altogether?

James: I still don't get what it's supposed to be.

Michelle: It's Jesus as a wain.

James: (tilting his head) Why's he got a big red hat on?

Michelle: Nobody knows.

Sister Michael: It was the Bishop's wish that he be passed around all the schools in the Derry Diocese. Therefore we are joined this morning by Mr. Malone, headmaster of St. Benedict's, so that the handover ceremony can take place. You are very welcome, Mr. Malone. Though I fear you may have had a wasted journey. I've thought about it, and I'd much rather just hold onto him, actually. (she smiles) He brightens up my office. (sternly) He doesn't answer back.

(The kids look awkward.)

Sister Michael: I like the fella. And if the Bishop has a problem with that, he can take it up with me. Now, what else was there? (she takes a sheet of paper) Ah, yes. Sadly, Sister Patrick has decided to leave us.

(Erin yawns.)

Sister Michael: She's returning to her missionary work, educating the heathen inhabitants of a primitive and savage place.

Woman: She's taking a teaching post in Belfast, Sister.

Sister Michael: Precisely. The Board of Governors promised me that her replacement would arrive today, but as usual they were talking out of their

(Door bangs. Sister Michael looks up. New English teacher, Ms. De Brn stands at the back of the hall with a helmet in her hand.)

Ms. De Brn: I believe you've been expecting me.

(The students all look shocked and excited. Orla shakes her head.)

Sister Michael: (rolling her eyes) Here we go."
4,episode_1_scene_24.txt,"Erin is writing a love story for her partner. She is frustrated that she has to explain the meaning of the word ""bide"" to Michelle and James.",19,17,"[In Erin’s bedroom. Erin sits at her desk, writing in a notebook. Michelle knocks and enters.]

Michelle: What’re you writing, Erin?

Erin: It’s a love story... for someone special.

[James slips in behind Michelle.]

James: Ah, romance! Are you going to read it out loud?

Erin: Not yet. I just used a word and they’re asking me what it means.

Michelle: Which word? Is it one of those posh words like “beguile” or something?

Erin: No—it’s “bide.” I wrote: “He will bide with her until dawn.”

Michelle: Bide...? What does that even mean? Stay? Wait?

Erin: Exactly, sort of. “Bide” means to stay somewhere or remain somewhere for a time… to wait.

James: So like when Dad says he’ll bide till the craic’s over before going home?

Erin: Yes, James, exactly like that—but in a romantic way, not your da’s pub habits.

[Mary sticks her head in the door.]

Michelle: Mam, can you help? What does “bide” mean?

Mary: “Bide” is like when you wait for something good—you don’t rush it. You stay patient, you hope.

Erin: Thank you, Mam. Finally someone gets it.

James: So in your story, the lad bides with the lass because he’s waiting for love, not because he’s stuck?

Erin: Precisely! Get your brains in gear, James.

Michelle: Right, now I understand. Go on, read more!","[In the Quinn kitchen. The kids are eating junk food and writing.]

Clare: (frustrated) God, this whole writing-from-the-soul carry-on is a nightmare.

James: I know.

Michelle: What rhymes with ride?

Clare: Bide.

Michelle: Bide? What the fuck does bide mean? Bide. That's not a word.

Clare: It is a word, Michelle.

Michelle: Bide? You've pure made that up.

Erin: Can we all be quiet? Please.

Orla: (holding up a picture she drew of James) What do you think, James? You've got red eyes cause I ran out of brown.

James: My eyes are green.

Orla: Now you tell me. (she looks distraught)

Erin: Okay. So, I'm trying not to think too much. Just to sort of let it flow through me.

Michelle: Aw, that's minging Erin.

Erin: (annoyed) Here's what I have so far. You know we belong together, you and I, forever and ever. No matter where you are, you're my guiding star.

James: Isn't that the theme tune to Home and Away?

Erin: Is it? (frustrated) Aw, for God's sake!"
5,episode_1_scene_34.txt,"Erin, James, Michelle, Orla and Clare have just known Ms. De Brn for two days and they love her. She invited them to her house at night.",39,28,"[Evening. De Brún’s living room. Soft lamplight. Erin, James, Michelle, Orla, and Clare sit on a worn couch and armchairs. De Brún enters with tea tray.]

De Brún: (smiling) Here we are. Hot tea and biscuits. Nothing too fancy—just us.

Erin: (accepting cup) Thanks, Ms. De Brún. This is lovely.

Clare: This house feels so warm. Like it’s breathing.

Michelle: I like your curtains, Ms. De Brún. They’re purple—but not too scary purple.

James: (peeking at photos on mantelpiece) Who’s that man in the sailing boat?

De Brún: That’s my father. He loved boats. Used to take me out every summer.

Orla: You’re lucky. My grandma once took me on a paddleboat. I almost drowned.

Erin: Orla! You’re always dramatic.

Orla: A little drama is good. It keeps the heart beating.

De Brún: (laughs) Would anyone like more tea? Or perhaps some hot chocolate?

Michelle: Hot chocolate, please! With marshmallows if you have them.

James: Yes! Marshmallows are essential to any evening.

Clare: I’ll have tea, thank you.

Erin: Hot chocolate for me too.

[De Brún pours drinks, handing them out.]

De Brún: So, tell me honestly—what do you like about me so far?

Erin: (considering) You’re... different. You listen.

Michelle: And you don’t always punish us. You talk.

James: You laugh. And sometimes you let us choose the music.

Orla: You don’t judge. Even when we fight, you don’t take sides. That’s nice.

De Brún: (quietly) Thank you. That means more than you know.

Clare: It’s weird—just two days. Feels like I’ve always known you.

Erin: Me too. I was braced for lectures, uniforms, rules. Instead, you let us be.

[Door creaks. De Brún pauses.]

De Brún: Shall I put on some music?

Erin: Yes! Something rock or Gaelic or—

Michelle: Anything but funeral dirge.

Orla: (grinning) Or opera. Let opera surprise us!

[De Brún presses play; gentle guitar strumming begins. The room softens.]

De Brún: There, just some acoustic folk. Thought it might suit the moment.

James: It suits. Feels… peaceful.

Erin: (raising her mug) To new beginnings. And to you, Ms. De Brún.

Everyone: To Ms. De Brún.

[They clink mugs. Music plays. Moments of comfortable silence.]

Clare: Will we do this again? Night at yours?

De Brún: Of course, Clare. My door’s always open.

Erin: (smiling) Then tonight, I think I just found a home away from home.

De Brún: And I’m honored to share it with all of you.","[On the street at night.]

Erin: Ms. De Brn's amazing. I've just never met anyone like her.

James: She's an inspiration.

Clare: Absolutely.

Michelle: She really knows how to grab things by the balls!

Clare: Oh yeah!

(Orla looks confused.)

Erin: She's changed my life, she really has.

James: (beaming) She likes my accent.

Orla: I'd die for her.

Erin: I think I would too, you know.

James: Me, too.

Michelle: Aye, fuck it. Why not?

Clare: Yeah! I mean, obviously, I totally agree, I'd die for her as well, but I'm also conscious of the fact that we've only known her, like, two days.

Erin: And?

Clare: Well, is it a bit weird she's invited us round to her house at night?

Erin: What do you mean?

Clare: Well, she's a teacher.

Erin: She's much more than a teacher.

Clare: Yeah. No. Obviously. I get that. She's great, but it's just that I've a feeling it might be, sort of, frowned upon.

Erin: God, Clare. You're so conditioned.

Clare: What's that supposed to mean?

Michelle: It means you need to loosen the fuck up.

Clare: I am loose, thank you very much.

Michelle: Face it, Clare, you're a craic killer.

Clare: (stops walking) I'm not a craic killer.

(The others walk on.)

Clare: I am not a craic killer!!"
6,episode_1_scene_36.txt,Clare was at Ms. De Brn's house at night. She was drunk. Jenny Joyce and Erin are on the street.,20,17,"[On a dimly lit Belfast street late at night. Erin and Jenny Joyce are standing outside a house, waiting.]

1. Jenny Joyce: Do you think she’s okay in there, Erin?

2. Erin: (frowning) She stank of drink when I left her. I don’t know about okay, Jes.

3. Jenny Joyce: Maybe she just needed to get away. Ms. De Brn’s place has a fire in the fireplace. Warm.

4. Erin: Warm’s one thing. But her tears were warm too. Real hot.

5. Jenny Joyce: (scoffs) You and Clare, you two are cut from the same cloth, Erin. Reckless, stubborn.

6. Erin: Reckless? Maybe. But I won’t just leave her to sober up alone in someone else’s house.

7. Jenny Joyce: What if Ms. De Brn kicks us out? She’s strict about visitors this late.

8. Erin: Better kicked out than worrying ourselves sick. Come on.

[They both approach the front door. Erin lifts her fist to knock.]

9. Erin: (shouts) Clare! You in there? It’s Erin!

10. (Silence. A faint giggle comes from inside.)

11. Jenny Joyce: She’s laughing, Jen. That ain’t a good thing.

12. Erin: (voice shaking) Clare… open up. Jaysus, you’re scaring me.

13. (Door creaks. Clare appears in the doorway, dishevelled, eyes red.)

14. Clare: Erin. Jes. Don’t come in. I’m fine.

15. Erin: You’re not fine. You’re swaying like a lamppost in wind.

16. Claire: It’s just the drink talking. I’ll sleep it off.

17. Jenny Joyce: Then we’ll be right here till you sober up. We’ve got mad notions of responsibility now, Erin.

[Erin places a steadying arm around Clare’s shoulder as Jenny Joyce looks on anxiously.]","[On the street.]

(Clare is drunk.)

Clare: I feel all floaty.

Michelle: She's absolutely fucking flying.

(Jenny Joyce appears.)

Jenny: Well, well, well. What are you guys up to?

Erin: Nothing much.

Clare: We've just been hanging out at Ms. De Brn's house.

Jenny: You were at her house? At night? Well, that's a bit inappropriate.

Clare: Your ma is a bit inappropriate.

Jenny: That doesn't even make sense.

Clare: Your ma doesn't even make sense.

Jenny: Is she drunk?

Clare: Your ma's drunk.

Erin: Okay, Clare. I think we get the idea. Lovely seeing you, Jenny.

Michelle: Take care now.

(They walk away.)"
7,episode_1_scene_38.txt,Ms. De Brn is no longer in the class. Sister Michael will be taking this class for the rest of the term.,27,21,"[Scene: The Quinn kitchen. Orla is at the table doing homework. Erin bursts in, backpack slung over shoulder. Mary is brewing tea. Granda Joe is sitting reading the paper.]

Erin: Mammy! Did you hear? Sister Michael’s taking our class now – for the rest of the term!

Mary: (startled) What? Is that proper?

Orla: (without looking up) Oh great. More nuns. As if one wasn’t enough.

Erin: I thought Ms. De Brn was harsh but—Sister Michael sings hymns in detention now. Hymns!

Granda Joe: Aye, but she might be better than that old git Ms. De Brn, God rest her soul.

Mary: Let’s not speak ill of the gone, Gerald.

[Cut to: Classroom. Sister Michael at the front, chalk in hand. Students murmur. Erin and Clare sit together.]

Sister Michael: Settle down, children. As you know, I will be teaching you for the rest of the term.

Clare: (whispering to Erin) Any idea where Ms. De Brn’s gone?

Erin: Dunno. Probably politics. Or hiding from us lot.

Sister Michael: Today’s lesson is poetry. I want each of you to write about something you care deeply about.

Orla: (in thought) Conflict? Identity? The bridge? Bombs?

Erin: (leans over) Don’t you dare write about bombs again. I’ve done enough trauma.

Sister Michael: Erin, your voice is important. If you want to write about bombs, write about your truth.

[Back in kitchen: Mary wiping a teacup. Gerry enters, looking dishevelled.]

Gerry: What chaos in there? I swear the school sounded like a cathedral full of banshees.

Mary: That’s Sister Michael for you. She’s moved mountains in that class already.

Granda Joe: (smirks) Mountains, or hymns. Same thing to my ears.

Gerry: Sure, at least there’s no Ms. De Brn lurking behind every desk, breathing down their necks.

Mary: Let’s hope this Sister Michael doesn’t go all Ms. De Brn on them.

[Back in classroom.]

Erin: (writing) …“In the silence between bombs I hear hope…” No, too lofty.

Sister Michael: Beautiful, Erin. Don’t censor your heart.

Orla: (quietly) Maybe this term won’t be such a disaster after all.

[Erin glances at Orla, slightly moved.]

Erin: (softly) Maybe not.","[In the English classroom. The kids walk in.]

(Sister Michael is wiping Ms. De Brn's name off the blackboard. Erin's face drops.)

Sister Michael: Take a seat please, ladies.

Erin: Where's Ms. De Brn?

Sister Michael: Gone. And she's not coming back.

Erin: What?!

Clare: I knew it. When I woke up this morning, I had a feeling something terrible was going to happen and also that essentially, deep down, I'm quite an evil person.

Michelle: It's called a hangover, Clare. You'll be grand.

Sister Michael: I will be taking this class for the rest of the term, which makes me want to pull off my own face, but needs must.

Erin: (to Jenny) This was you, wasn't it? What did you do? What did you say?

Jenny: I don't know what you're talking about.

Erin: Aye, so you don't. Supergrass!

Sister Michael: That's quite enough!

Erin: You don't understand, Sister. Ms. De Brn, she touched us.

Sister Michael: What?

Erin: She made us think, she made us feel.

Sister Michael: (sighing) Oh, thank God! That would be all I need.

Erin: You can't sack her! You just can't!

(Clare drops her head into her hand, in pain.)

Sister Michael: (walking towards Erin) Miss Quinn, you appear to be under the misapprehension that you can address me as though you are my equal! I suggest you rein it in, and take a seat.

(The kids sit down and Jenny smiles with satisfaction.)"
8,episode_1_scene_4.txt,The kids walk with their bags. They need to go south-east for 0.5 miles and will receive further instructions shortly.,24,19,"[Outside Erin’s house. Erin and Orla are each shoulder-strapping backpacks. Morning light.]

Erin: Are you sure there’s no breakfast first?

Orla: There’s a banana in my bag. Your Ma made the toast.

Erin: Fine. (slings bag) South-east for half a mile, she said. Then wait. More instructions.

Orla: Why south-east though? Why not just go east?

Erin: She’s always fancied compass points. Learned them during the Troubles, she says.

[They step off the porch and begin walking down the lane.]

Mary: (from doorway) Girls! Did you pack enough socks?

Erin: (calling back) Socks are in, Ma! And two bottles of water.

Mary: Good. And stay together. Whatever comes next.

Orla: (quietly) Erin, what if the instructions are stupid?

Erin: We’ll make them less stupid. That’s what we’re good at.

[They round the corner and head along a narrow road toward south-east.]

Orla: I hate marches like this. All this walking and nobody telling you when it's going to end.

Erin: Think of it like a treasure hunt. With imminent danger.

Orla: That’s ___ comforting.

[They walk past a row of closed shops, bags heavy on shoulders.]

Erin: Half a mile isn’t far. Shouldn’t take more than ten minutes.

Orla: And then?

Erin: Then we wait. Maybe messages. Maybe people. Whoever.

Orla: Promise we’ll go home if it gets mad dangerous?

Erin: I promise. Nothing’s worth risking you.

Orla: Thanks. (smiles) Now hurry up—I’m lagging behind.

[They continue walking, fading into the quiet street as the sky lightens.]","[On the street. The kids walk with their bags.]

Michelle: We're doing it for peace, all right, Mary. A piece of that fine Protestant ass!

(Erin and Michelle high-five excitedly.)

Clare: (disgusted) God, you are such a hypocrite, Erin.

Erin: No, I'm not. I just don't think there's anything wrong with some cross-community

Michelle: Fiddling.

Erin: Relations.

Orla: (looking at a map) So we need to head south-east for 0.5 miles and you'll receive further instructions shortly.

Erin: We haven't even left the estate yet, Orla.

Michelle: These Prods have some serious moves up their sleeves, you know. They're not as fucked up about sex as we are. They've put the work in. They know what they're doing.

Clare: They're people, Michelle. They're not sex toys.

Michelle: I beg to differ.

James: I'm really looking forward to making friends with some lads. (smiling)

Michelle: Lads aren't going to make friends with you, James. Lads make friends with other lads.

James: I am a lad.

Erin: Aye, so you are, James.

Clare: (taking money out of her pocket) Okay, how much money do we have?

Michelle: Look, the riding of the Protestants is one thing, but I don't see why we have to buy them a present. I mean they already have all the land, all the jobs and all the fucking rights.

Erin: Aye, Michelle. That's definitely the attitude we should have entering into this weekend."
9,episode_1_scene_5.txt,"Dennis is out of stock of a present for Protestants. Clare, Erin, Michelle, Orla, James and Erin want him to give them the Subbuteo and pay them off in instalments.",28,19,"[In Dennis’s front room. Erin, Clare, Michelle, Orla, and James are gathered; Erin holds a half-empty Subbuteo box.]

Erin: Dennis! Where’s the rest of the Subbuteo set you promised for Protestants?

Dennis: I’m sorry—out of stock. They’ve none left in Belfast, Derry—nowhere.

Clare: Out of stock?! You told us you had it yesterday!

Michelle: Yeah. And I’ve been counting on that magic midfield player since yesterday.

James: You promised instalments, too—now I’ve spent my pocket money on nothing but promise.

Orla: Instalments, instalments—they sound just like a loan shark in shiny shoes, but we’ll take it.

Erin: So what do we do? Keep waiting? You’ll buy it, or…?

Dennis: I could find a similar set from a second-hand shop but it won’t be official.

Clare: Official? Dennis, we don’t need fancy. We need Subbuteo. Protestants won’t care if it’s chipped.

Orla: As long as we can pretend it’s new at school.

James: And we still get the players in the right kits, right? No funny colours.

Dennis: Maybe. But it'll cost more. I can give you the instalment plan—half now, half later.

Erin: Fine. I’ll take half now. Michelle?

Michelle: Half now for me too. Clare? You okay with late payment?

Clare: I’ll scrape together what I can. Work at the shop this weekend.

Orla: I can help too—babysit Mrs. McCall’s dog. Any dog-sitting counts as Subbuteo fund.

James: Right. When are we paying you the rest, Dennis?

Dennis: Two weeks. Okay? Two weeks and the rest is due.

Erin: And you get us the boxes then?

Dennis: If I can. If they’re back in stock.

Orla: If not, you find another way. We’ll not be out-played.

Erin: Right. Deal.

(All nod, some reluctantly clutching coins, others sharing hopeful glances.)

[They disperse, Erin lingering, staring at Dennis.]

Erin: Thanks, Dennis. And don’t let us down. I’ve got dreams of scoring on Rory Crawford.

Dennis: I’ll not let you down, Erin. I promise.

(Erin exits; Dennis sighs, glances at the empty space once occupied by the Subbuteo set.)","[In Dennis' Wee Shop.]

Dennis: A present for Protestants.

(They all stare back at him. Clare, Erin and Michelle are all eating sweets.)

Dennis: Ah, now, my next Protestant gift delivery isn't due to arrive until Wednesday, and as it stands I'm completely out of stock, what with there being such a high fucking demand for that sort of thing around these parts.

Orla: (turning to the others) That's a shame.

Clare: (enthusiastically pointing) How much for the Subbuteo, Dennis?

Dennis: We'll call it sixteen quid.

(James looks shocked.)

James: Could we call it 1.76?

Dennis: No, we fucking couldn't.

Erin: How about, we give you the 1.76 and pay the rest off in instalments?

Clare: Yeah, which would be what? 3.56 over four weeks?

Dennis: Jesus, check out Rain Wain.

Erin: Or, you could give us the Subbuteo and then we work off the debt?

Clare: (sucking on sweet) Yeah, we could do chores and stuff.

Dennis: Chores? What do you think this is? Little House on the Fucking Prairie?

Orla: (smiling) Do you watch Little House on the Prairie, Dennis?

Dennis: (suddenly furious) Get out!

(The kids look taken aback as they walk out.)"
10,episode_1_scene_6.txt,Jenny and Aisling are going to buy a present for the Protestants. Jenny is good friends with a half-Protestant girl whose name's Zara and she has a horse.,41,29,"[In Jenny’s bedroom. Aisling is rummaging through Jenny’s wardrobe.]

Jenny: What are you doing, Aisling?

Aisling: Trying to find something decent to wear. If we’re going to the shops to pick out a present for the Protestants, I’m not going looking like this.

Jenny: It doesn’t have to be fancy, just respectful. Zara’ll be coming with us.

Aisling: Half-Protestant, yeah? Doesn’t that count?

Jenny: It does. But you know her Mam likes tradition. We’ll need something that says “peace offering,” not “you’re culture’s crap.”

[They head downstairs. Jenny’s Mam, Siobhan, is making tea.]

Siobhan: You off to the shops?

Jenny: We are, Mam. We’re buying a present. For Zara’s Protestant part of the family.

Siobhan: (sips tea) Bridging the divide, are we?

Aisling: Something like that. Jenny’s being very grown up.

Jenny: She’s good friends with Zara. And her horse—Donny—he’d love treats too. Maybe we get something horsey.

Siobhan: Just stay away from anything that’ll start an argument, girls.

[On the street. Jenny and Aisling, walking. Zara meets them, tied to her horse Donny under a hedge.]

Zara: Hey! Ready to shop?

Jenny: Aye. We thought maybe stable stuff for Donny. And something for you and your family.

Aisling: But not too “Protestant,” or they’ll think we’re mocking them.

Zara: My Dad likes oak things. Protestant or not, he loves woodwork.

Jenny: Oak. Good. Solid.

[They reach the market. Wooden crafts stall.]

Aisling: Look at that, oak photo frame.

Jenny: Could put a picture of Zara and Donny in it.

Zara: I have that photo! (Pulls out phone) It’s lovely.

Vendor: Ah, you girls need help deciding?

Jenny: Yes please. Something meaningful.

Vendor: Perhaps this oak bread board—solid, handmade. Symbol of unity, sharing.

Aisling: That could work.

Zara: That’d be perfect for their kitchen.

Jenny: And Donny? What about some carrots?

Vendor: (smirks) Not with me, lass. But there’s a feed stall just down.

Jenny: Right. Let’s get this board, and pick up carrots after.

[They pay, board wrapped. Exit stall.]

Aisling: I think your Dad will like it, Zara.

Zara: And Donny will be nobbled with joy.

Jenny: See? Peace and carrots. Maybe this is what ‘Friends Across the Barricades’ really means.

Aisling: (smiling) Exactly. A gift, a horse, some hope.

[They walk off, Jenny carrying the oak board, Zara leading Donny.]

Zara: Thank you, Jenny. This means a lot.

Jenny: Anytime. Let’s go get Donny’s treats then.

Aisling: And maybe a cuppa after?

Jenny: You read my mind.","[On a road. The kids are walking.]

Clare: Come on girls, this is embarrassing!

Michelle: Well, it's all right for you Clare, but we want to buck these lads. We have to offer them some kind of incentive.

Clare: They're not prostitutes, Michelle! And even if they were, I think a half-eaten packet of Rolos and an Ulster Bank key ring is a pretty insulting form of payment.

James: (smiling and holding up a pencil) I have a HB pencil!

Michelle: (taking the pencil) Happy days.

(Jenny and Aisling appear, holding a large present wrapped carefully.)

Jenny: Hi, guys!

Erin: That's not That's not what you're giving to the Protestants, is it?

Jenny: It's just a little token, really.

Orla: Yeah. So's ours.

Aisling: Is that an Ulster Bank key ring?

Erin: It is indeed, yep.

Jenny: I must admit, I had a bit of an advantage when it came to the whole present buying thing, because

Michelle: You're loaded.

Jenny: Because I know what they like. (smiling smugly) I happen to be very good friends with a half-Protestant.

Clare: What?

Michelle: They don't come in halves, Jenny.

Jenny: They do actually. I met her at ballet class. Her name's zara, and she has a horse.

Erin: Good for zara. Bye bye now.

(They all walk away from Jenny and Aisling.)

Clare: (annoyed) Of course she's friends with a half-Protestant! Of course she is!

Michelle: She has been fucking unbearable since them braces came off.

Erin: Dose.

Clare: (frantically) Well, I'm going to make friends with a full Protestant! See how she likes it. zara won't seem quite so impressive next to my thorough-bred, will she Jenny?!

Erin: Relax, Clare.

Michelle: Why has she got so much money, anyway? Who's her da? Pierce fucking Brosnan?

Erin: He's a surgeon over at Altnagelvin. He took Orla's tonsils out. (climbs into bus)

Orla: And not a day goes by when I don't think about them."
